ncbi_taxon_id,scientific_name
10,Cellvibrio
18,Pelobacter
20,Phenylobacterium
22,Shewanella
53,Nannocystis
75,Caulobacter
85,Hyphomonas
101,Flectobacillus
113,Gemmata
157,Treponema
194,Campylobacter
209,Helicobacter
222,Achromobacter
226,Alteromonas
234,Brucella
237,Flavobacterium
265,Paracoccus
270,Thermus
283,Comamonas
286,Pseudomonas
338,Xanthomonas
357,Agrobacterium
374,Bradyrhizobium
379,Rhizobium
407,Methylobacterium
416,Methylomonas
441,Gluconobacter
445,Legionella
469,Acinetobacter
475,Moraxella
482,Neisseria
497,Psychrobacter
507,Alcaligenes
528,Ochrobactrum
538,Eikenella
541,Zymomonas
544,Citrobacter
547,Enterobacter
561,Escherichia
570,Klebsiella
579,Kluyvera
581,Morganella
583,Proteus
586,Providencia
590,Salmonella
613,Serratia
620,Shigella
626,Xenorhabdus
629,Yersinia
637,Arsenophonus
642,Aeromonas
657,Photobacterium
662,Vibrio
702,Plesiomonas
713,Actinobacillus
724,Haemophilus
776,Coxiella
816,Bacteroides
830,Butyrivibrio
836,Porphyromonas
838,Prevotella
841,Roseburia
843,Wolinella
848,Fusobacterium
862,Syntrophomonas
864,Pectinatus
872,Desulfovibrio
896,Desulfococcus
898,Desulfomicrobium
904,Acidaminococcus
906,Megasphaera
953,Wolbachia
958,Bdellovibrio
963,Herbaspirillum
970,Selenomonas
992,Flexibacter
1007,Saprospira
1011,Sporocytophaga
1016,Capnocytophaga
1021,Beggiatoa
1041,Erythrobacter
1073,Rhodopseudomonas
1129,Synechococcus
1177,Nostoc
1190,Fischerella
1205,Trichodesmium
1234,Nitrospira
1243,Leuconostoc
1253,Pediococcus
1257,Peptostreptococcus
1263,Ruminococcus
1269,Micrococcus
1279,Staphylococcus
1298,Deinococcus
1301,Streptococcus
1350,Enterococcus
1357,Lactococcus
1372,Planococcus
1375,Aerococcus
1378,Gemella
1380,Atopobium
1386,Bacillus
1485,Clostridium
1569,Sporosarcina
1573,Clavibacter
1578,Lactobacillus
1645,Renibacterium
1647,Erysipelothrix
1649,Kurthia
1651,Alloiococcus
1654,Actinomyces
1663,Arthrobacter
1678,Bifidobacterium
1696,Brevibacterium
1716,Corynebacterium
1730,Eubacterium
1743,Propionibacterium
1754,Thermoanaerobacter
1817,Nocardia
1827,Rhodococcus
1839,Nocardioides
1847,Pseudonocardia
1854,Frankia
1883,Streptomyces
2013,Nocardiopsis
2034,Curtobacterium
2050,Mobiluncus
2086,Anaeroplasma
2093,Mycoplasma
2129,Ureaplasma
2132,Spiroplasma
2147,Acholeplasma
2152,Asteroleplasma
2172,Methanobrevibacter
2220,Methanolobus
2260,Pyrococcus
2299,Desulfosarcina
2316,Methanosphaera
2349,Haliscomenobacter
2357,Desulfomonile
2373,Acetonema
2697,Heliobacterium
2701,Gardnerella
2717,Cardiobacterium
2723,Hirschia
2735,Verrucomicrobium
2737,Vagococcus
2740,Peptococcus
2742,Marinobacter
2745,Halomonas
2747,Carnobacterium
2755,Brochothrix
12916,Acidovorax
13075,Globicatella
13134,Magnetospirillum
13334,Anaerobiospirillum
13687,Sphingomonas
28033,Sulfobacillus
28105,Sinorhizobium
28186,Acetohalobium
28196,Arcobacter
28231,Geobacter
28253,Marinomonas
28453,Sphingobacterium
29330,Alicyclobacillus
29331,Amphibacillus
29393,Dolosigranulum
29465,Veillonella
29521,Brachyspira
29526,Syntrophobacter
29548,Rhodothermus
29580,Janthinobacterium
31988,Aminobacter
32008,Burkholderia
32067,Leptotrichia
32199,Buchnera
32207,Rothia
32636,Halothermothrix
33042,Coprococcus
33057,Thauera
33071,Gloeobacter
33870,Coriobacterium
33882,Microbacterium
33886,Rathayibacter
33926,Candidatus Phytoplasma
33969,Melissococcus
33973,Acidobacterium
33986,Exiguobacterium
34037,Rahnella
34102,Sphaerotilus
34104,Streptobacillus
35750,Sporichthya
35798,Nitrosospira
35832,Bilophila
36739,Dermabacter
36853,Desulfitobacterium
37914,Dietzia
39948,Dialister
40323,Stenotrophomonas
40544,Sutterella
41273,Tissierella
41275,Brevundimonas
41707,Lawsonia
42255,Rubrobacter
42447,Anaerobranca
43773,Syntrophus
43947,Tolumonas
43996,Catonella
44000,Caldicellulosiruptor
44013,Polynucleobacter
44249,Paenibacillus
44259,Filifactor
44260,Moorella
44262,Oxalophagus
44675,Geothrix
44748,Sporobacter
45669,Salinicoccus
45989,Methanoculleus
46123,Abiotrophia
46200,Geovibrio
46205,Pseudobutyrivibrio
46255,Weissella
46913,Devosia
47670,Lautropia
48463,Prosthecobacter
48736,Ralstonia
