ncbi_taxon_id,scientific_name
9,Buchnera aphidicola
24,Shewanella putrefaciens
103,Flectobacillus major
114,Gemmata obscuriglobus
119,Rubinisphaera brasiliensis
158,Treponema denticola
159,Brachyspira hyodysenteriae
160,Treponema pallidum
163,Treponema bryantii
167,Treponema succinifaciens
195,Campylobacter coli
197,Campylobacter jejuni
198,Campylobacter hyointestinalis
199,Campylobacter concisus
200,Campylobacter curvus
204,Campylobacter showae
210,Helicobacter pylori
238,Elizabethkingia meningoseptica
245,Flavobacterium aquatile
247,Empedobacter brevis
254,Chryseobacterium indoltheticum
256,Myroides odoratus
274,Thermus thermophilus
285,Comamonas testosteroni
287,Pseudomonas aeruginosa
292,Burkholderia cepacia
293,Brevundimonas diminuta
294,Pseudomonas fluorescens
300,Pseudomonas mendocina
301,Pseudomonas oleovorans
303,Pseudomonas putida
305,Ralstonia solanacearum
316,Pseudomonas stutzeri
317,Pseudomonas syringae
329,Ralstonia pickettii
343,Xanthomonas translucens
375,Bradyrhizobium japonicum
381,Mesorhizobium loti
382,Sinorhizobium meliloti
421,Methylomonas methanica
470,Acinetobacter baumannii
471,Acinetobacter calcoaceticus
477,Moraxella lacunata
478,Moraxella nonliquefaciens
480,Moraxella catarrhalis
483,Neisseria cinerea
487,Neisseria meningitidis
488,Neisseria mucosa
493,Neisseria canis
495,Neisseria elongata
496,Neisseria macacae
511,Alcaligenes faecalis
529,Ochrobactrum anthropi
539,Eikenella corrodens
546,Citrobacter freundii
549,Pantoea agglomerans
550,Enterobacter cloacae
553,Pantoea ananatis
562,Escherichia coli
563,Shimwellia blattae
573,Klebsiella pneumoniae
582,Morganella morganii
584,Proteus mirabilis
585,Proteus vulgaris
587,Providencia rettgeri
588,Providencia stuartii
621,Shigella boydii
623,Shigella flexneri
632,Yersinia pestis
638,Arsenophonus nasoniae
644,Aeromonas hydrophila
645,Aeromonas salmonicida
654,Aeromonas veronii
663,Vibrio alginolyticus
669,Vibrio harveyi
670,Vibrio parahaemolyticus
685,Vibrio diazotrophicus
703,Plesiomonas shigelloides
714,Aggregatibacter actinomycetemcomitans
726,Haemophilus haemolyticus
727,Haemophilus influenzae
729,Haemophilus parainfluenzae
732,Aggregatibacter aphrophilus
735,Haemophilus parahaemolyticus
736,Haemophilus paraphrohaemolyticus
739,Aggregatibacter segnis
817,Bacteroides fragilis
818,Bacteroides thetaiotaomicron
820,Bacteroides uniformis
821,Bacteroides vulgatus
823,Parabacteroides distasonis
824,Campylobacter gracilis
827,Campylobacter ureolyticus
831,Butyrivibrio fibrisolvens
837,Porphyromonas gingivalis
839,Prevotella ruminicola
840,Prevotella loescheii
844,Wolinella succinogenes
850,Fusobacterium mortiferum
851,Fusobacterium nucleatum
852,Fusobacterium perfoetens
853,Faecalibacterium prausnitzii
856,Fusobacterium varium
859,Fusobacterium necrophorum
860,Fusobacterium periodonticum
861,Fusobacterium ulcerans
863,Syntrophomonas wolfei
876,Desulfovibrio desulfuricans
879,Desulfovibrio gigas
881,Desulfovibrio vulgaris
901,Desulfovibrio piger
905,Acidaminococcus fermentans
907,Megasphaera elsdenii
959,Bdellovibrio bacteriovorus
964,Herbaspirillum seropedicae
982,Saccharicrinis fermentans
986,Flavobacterium johnsoniae
996,Flavobacterium columnare
998,Flexibacter flexilis
1010,Sphingobacterium mizutaii
1015,Bergeyella zoohelcum
1018,Capnocytophaga ochracea
1053,Halorhodospira halophila
