ncbi_taxon_id,scientific_name
157,Treponema
194,Campylobacter
209,Helicobacter
222,Achromobacter
234,Brucella
237,Flavobacterium
283,Comamonas
286,Pseudomonas
338,Xanthomonas
469,Acinetobacter
482,Neisseria
507,Alcaligenes
517,Bordetella
528,Ochrobactrum
538,Eikenella
544,Citrobacter
547,Enterobacter
561,Escherichia
568,Hafnia
570,Klebsiella
581,Morganella
583,Proteus
586,Providencia
590,Salmonella
613,Serratia
620,Shigella
629,Yersinia
642,Aeromonas
702,Plesiomonas
713,Actinobacillus
724,Haemophilus
816,Bacteroides
830,Butyrivibrio
836,Porphyromonas
838,Prevotella
841,Roseburia
846,Oxalobacter
848,Fusobacterium
872,Desulfovibrio
904,Acidaminococcus
906,Megasphaera
1016,Capnocytophaga
1033,Afipia
1073,Rhodopseudomonas
1243,Leuconostoc
1253,Pediococcus
1257,Peptostreptococcus
1263,Ruminococcus
1269,Micrococcus
1279,Staphylococcus
1301,Streptococcus
1350,Enterococcus
1357,Lactococcus
1378,Gemella
1380,Atopobium
1386,Bacillus
1485,Clostridium
1578,Lactobacillus
1654,Actinomyces
1678,Bifidobacterium
1696,Brevibacterium
1716,Corynebacterium
1730,Eubacterium
1743,Propionibacterium
1827,Rhodococcus
1839,Nocardioides
1883,Streptomyces
2093,Mycoplasma
2129,Ureaplasma
2172,Methanobrevibacter
2316,Methanosphaera
2701,Gardnerella
2753,Synergistes
29465,Veillonella
29521,Brachyspira
32008,Burkholderia
32012,Thiomonas
32207,Rothia
33024,Phascolarctobacterium
33042,Coprococcus
35823,Arthrospira
35832,Bilophila
36739,Dermabacter
39948,Dialister
40323,Stenotrophomonas
40544,Sutterella
41275,Brevundimonas
43668,Brachybacterium
44249,Paenibacillus
46123,Abiotrophia
46255,Weissella
48736,Ralstonia
52225,Mitsuokella
53335,Pantoea
57493,Kocuria
61170,Holdemania
66831,Facklamia
76831,Myroides
76833,Actinobaculum
80865,Delftia
84108,Slackia
84111,Eggerthella
100883,Coprobacillus
102106,Collinsella
117563,Granulicatella
123375,Solobacterium
133925,Olsenella
135858,Catenibacterium
144193,Turicella
150022,Finegoldia
156454,Anaeroglobus
156973,Dysgonomonas
158846,Megamonas
160674,Raoultella
162289,Peptoniphilus
165779,Anaerococcus
180162,Cetobacterium
184869,Varibaculum
189330,Dorea
191303,Turicibacter
196081,Scardovia
201096,Alicycliphilus
203133,Propionimicrobium
204037,Dickeya
207244,Anaerostipes
212791,Enhydrobacter
216851,Faecalibacterium
239759,Alistipes
239934,Akkermansia
244127,Anaerotruncus
253238,Ethanoligenens
265975,Oribacterium
283168,Odoribacter
290425,Advenella
292632,Subdoligranulum
305976,Pusillimonas
375288,Parabacteroides
397864,Barnesiella
400634,Lysinibacillus
413496,Cronobacter
416916,Aggregatibacter
419014,Alloscardovia
447020,Adlercreutzia
459786,Oscillibacter
543311,Parvimonas
572511,Blautia
574697,Butyricimonas
577309,Paraprevotella
577310,Parasutterella
580596,Butyricicoccus
638847,Pyramidobacter
644652,Gordonibacter
648800,Solibacillus
946234,Flavonifractor
1283313,Alloprevotella
1348911,Coprobacter
1434006,Fretibacterium
1506553,Lachnoclostridium
