classes,fpr,tpr,auc
Chlortetracycline,0.0,0.0,1.0
Chlortetracycline,0.0,0.1,1.0
Chlortetracycline,0.0,1.0,1.0
Chlortetracycline,1.0,1.0,1.0
Control,0.0,0.0,1.0
Control,0.0,0.1,1.0
Control,0.0,1.0,1.0
Control,1.0,1.0,1.0
Penicillin,0.0,0.0,1.0
Penicillin,0.0,0.1,1.0
Penicillin,0.0,1.0,1.0
Penicillin,1.0,1.0,1.0
Vancomycin,0.0,0.0,1.0
Vancomycin,0.0,0.1,1.0
Vancomycin,0.0,1.0,1.0
Vancomycin,1.0,1.0,1.0
VancomycinPenicillin,0.0,0.0,1.0
VancomycinPenicillin,0.0,0.1,1.0
VancomycinPenicillin,0.0,1.0,1.0
VancomycinPenicillin,1.0,1.0,1.0
micro,0.0,0.0,1.0
micro,0.0,0.02,1.0
micro,0.0,1.0,1.0
micro,1.0,1.0,1.0
macro,0.0,1.0,1.0
macro,1.0,1.0,1.0
