features,j_cmi,MIfy
OTU_2,2.309299314445771,2.309299314445771
OTU_26,-0.006603598710657188,2.309299314445771
OTU_3,-0.05971954150963654,2.309299314445771
OTU_25,0.04949276055432339,2.309299314445771
OTU_98,-0.03432681731662601,2.309299314445771
OTU_13,-0.14776791065118244,2.309299314445771
OTU_4,-0.06369056638723603,2.309299314445771
OTU_9,-0.005643405597791862,2.309299314445771
OTU_113,-0.11929791220848873,2.266746122956409
OTU_67,-0.04622731216962528,2.2324984532875414
OTU_74,-0.06640020374019517,2.2060066980144235
OTU_27,-0.049974068110932635,2.162563209078968
OTU_95,0.07059556806213596,1.9053354664229953
OTU_93,-0.16760820982282465,1.4834927401413687
OTU_101,-0.007558209757575485,1.3231759360944162
OTU_87,-0.10964539355631708,1.2497191216844898
OTU_12,0.061671462251968734,1.14726193283785
OTU_32,0.041738064071709324,0.8681444823358586
OTU_100,-0.15352729593581194,0.6817816394500709
OTU_5,-0.12833421979680015,0.6527003214601166
OTU_90,-0.1465305107475542,0.6492561824891638
OTU_7,-0.10345079311351602,0.6358691509340428
OTU_38,-0.1556573244649565,0.6181119617698969
OTU_65,-0.06925564393440553,0.5975257272090007
OTU_77,-0.1691063306367181,0.589004184019883
OTU_96,-0.10149615171992998,0.5462737170202583
OTU_114,-0.059386781691393775,0.5348551721556625
OTU_78,-0.1877041157638928,0.5171659392702443
OTU_92,-0.12140178150859493,0.5025386325981471
OTU_57,-0.07814685465033877,0.4973248543415236
OTU_56,-0.16839177325428079,0.48826707892362253
OTU_41,-0.10237244667354606,0.4882670789236221
OTU_49,-0.09301219216658374,0.48730911164376955
OTU_116,-0.07046278570757669,0.4750060446597706
OTU_107,-0.09209066404338773,0.4443413437952879
OTU_117,-0.09347346306910365,0.4443413437952879
OTU_121,-0.10875630842998174,0.4131087688088937
OTU_76,-0.08605692702655582,0.4131087688088937
OTU_37,-0.10479164348721204,0.3963040580428796
OTU_115,-0.09094064304977234,0.39440569742449405
OTU_55,-0.09383431671212072,0.37760098665847996
OTU_104,-0.07238294298650833,0.3620891578669787
OTU_31,-0.10279026943170494,0.36208915786697826
OTU_61,-0.09867004541758384,0.35254913625619855
OTU_30,-0.08641244199037368,0.3443019966199321
OTU_35,-0.0976002244416539,0.3408843174090386
OTU_109,-0.056441321428256086,0.32141377508889146
OTU_58,-0.416735167832608,0.3191870507235839
OTU_39,-0.10824047341520121,0.2688779448384717
OTU_120,-0.08956618268207,0.25109078359142556
