classes,fpr,tpr,auc
External_Auditory_Canal,0.0,0.0,1.0
External_Auditory_Canal,0.0,0.5449438202247191,1.0
External_Auditory_Canal,0.0,0.651685393258427,1.0
External_Auditory_Canal,0.0,0.7247191011235955,1.0
External_Auditory_Canal,0.0,0.7584269662921348,1.0
External_Auditory_Canal,0.0,0.7921348314606742,1.0
External_Auditory_Canal,0.0,0.797752808988764,1.0
External_Auditory_Canal,0.0,0.8089887640449438,1.0
External_Auditory_Canal,0.0,0.8146067415730337,1.0
External_Auditory_Canal,0.0,0.8258426966292135,1.0
External_Auditory_Canal,0.0,0.8286516853932584,1.0
External_Auditory_Canal,0.0,0.8370786516853933,1.0
External_Auditory_Canal,0.0,0.848314606741573,1.0
External_Auditory_Canal,0.0,0.8539325842696629,1.0
External_Auditory_Canal,0.0,0.8623595505617978,1.0
External_Auditory_Canal,0.0,0.8764044943820225,1.0
External_Auditory_Canal,0.0,0.8792134831460674,1.0
External_Auditory_Canal,0.0,0.8848314606741573,1.0
External_Auditory_Canal,0.0,0.8876404494382022,1.0
External_Auditory_Canal,0.0,0.9157303370786517,1.0
External_Auditory_Canal,0.0,0.9185393258426966,1.0
External_Auditory_Canal,0.0,0.9241573033707865,1.0
External_Auditory_Canal,0.0,0.949438202247191,1.0
External_Auditory_Canal,0.0,0.9550561797752809,1.0
External_Auditory_Canal,0.0,0.9578651685393258,1.0
External_Auditory_Canal,0.0,0.9691011235955056,1.0
External_Auditory_Canal,0.0,1.0,1.0
External_Auditory_Canal,0.008426966292134831,1.0,1.0
External_Auditory_Canal,0.010674157303370787,1.0,1.0
External_Auditory_Canal,0.011235955056179775,1.0,1.0
External_Auditory_Canal,0.01348314606741573,1.0,1.0
External_Auditory_Canal,0.014044943820224719,1.0,1.0
External_Auditory_Canal,0.016292134831460674,1.0,1.0
External_Auditory_Canal,0.01741573033707865,1.0,1.0
External_Auditory_Canal,0.019662921348314606,1.0,1.0
External_Auditory_Canal,0.020224719101123594,1.0,1.0
External_Auditory_Canal,0.021910112359550562,1.0,1.0
External_Auditory_Canal,0.023033707865168538,1.0,1.0
External_Auditory_Canal,0.025280898876404494,1.0,1.0
External_Auditory_Canal,0.02696629213483146,1.0,1.0
External_Auditory_Canal,0.029213483146067417,1.0,1.0
External_Auditory_Canal,0.03089887640449438,1.0,1.0
External_Auditory_Canal,0.03539325842696629,1.0,1.0
External_Auditory_Canal,0.042134831460674156,1.0,1.0
External_Auditory_Canal,0.056741573033707866,1.0,1.0
External_Auditory_Canal,0.06123595505617978,1.0,1.0
External_Auditory_Canal,0.0702247191011236,1.0,1.0
External_Auditory_Canal,0.07865168539325842,1.0,1.0
External_Auditory_Canal,0.09213483146067415,1.0,1.0
External_Auditory_Canal,0.11292134831460675,1.0,1.0
External_Auditory_Canal,0.14606741573033707,1.0,1.0
External_Auditory_Canal,0.14662921348314606,1.0,1.0
External_Auditory_Canal,0.21797752808988763,1.0,1.0
External_Auditory_Canal,0.21853932584269664,1.0,1.0
External_Auditory_Canal,1.0,1.0,1.0
Feces,0.0,0.0,1.0
Feces,0.0,0.8061797752808989,1.0
Feces,0.0,0.901685393258427,1.0
Feces,0.0,0.9353932584269663,1.0
Feces,0.0,0.952247191011236,1.0
Feces,0.0,0.9634831460674157,1.0
Feces,0.0,0.9691011235955056,1.0
Feces,0.0,0.9831460674157303,1.0
Feces,0.0,0.9915730337078652,1.0
Feces,0.0,0.9971910112359551,1.0
Feces,0.0,1.0,1.0
Feces,0.003932584269662922,1.0,1.0
Feces,0.0050561797752808986,1.0,1.0
Feces,0.0056179775280898875,1.0,1.0
Feces,0.007865168539325843,1.0,1.0
Feces,0.008426966292134831,1.0,1.0
Feces,0.010112359550561797,1.0,1.0
Feces,0.015168539325842697,1.0,1.0
Feces,0.019101123595505618,1.0,1.0
Feces,0.021910112359550562,1.0,1.0
Feces,0.028651685393258425,1.0,1.0
Feces,0.043820224719101124,1.0,1.0
Feces,1.0,1.0,1.0
Hair,0.0,0.0,1.0
Hair,0.0,0.09269662921348315,1.0
Hair,0.0,0.13764044943820225,1.0
Hair,0.0,0.14606741573033707,1.0
Hair,0.0,0.14887640449438203,1.0
Hair,0.0,0.17415730337078653,1.0
Hair,0.0,0.19662921348314608,1.0
Hair,0.0,0.22752808988764045,1.0
