classes,fpr,tpr,auc
Axilla,0.0,0.0,1.0
Axilla,0.0,0.015625,1.0
Axilla,0.0,0.109375,1.0
Axilla,0.0,0.140625,1.0
Axilla,0.0,0.15625,1.0
Axilla,0.0,0.1875,1.0
Axilla,0.0,0.28125,1.0
Axilla,0.0,0.3125,1.0
Axilla,0.0,1.0,1.0
Axilla,0.03551136363636364,1.0,1.0
Axilla,0.03835227272727273,1.0,1.0
Axilla,0.09517045454545454,1.0,1.0
Axilla,0.09801136363636363,1.0,1.0
Axilla,0.10369318181818182,1.0,1.0
Axilla,0.10653409090909091,1.0,1.0
Axilla,0.12926136363636365,1.0,1.0
Axilla,0.13352272727272727,1.0,1.0
Axilla,0.14204545454545456,1.0,1.0
Axilla,0.14772727272727273,1.0,1.0
Axilla,0.16335227272727273,1.0,1.0
Axilla,0.1690340909090909,1.0,1.0
Axilla,0.17755681818181818,1.0,1.0
Axilla,0.18039772727272727,1.0,1.0
Axilla,0.18181818181818182,1.0,1.0
Axilla,0.1846590909090909,1.0,1.0
Axilla,0.19744318181818182,1.0,1.0
Axilla,0.2002840909090909,1.0,1.0
Axilla,0.22727272727272727,1.0,1.0
Axilla,0.24857954545454544,1.0,1.0
Axilla,0.25142045454545453,1.0,1.0
Axilla,0.2556818181818182,1.0,1.0
Axilla,0.27698863636363635,1.0,1.0
Axilla,0.2940340909090909,1.0,1.0
Axilla,0.32386363636363635,1.0,1.0
Axilla,0.3465909090909091,1.0,1.0
Axilla,0.35795454545454547,1.0,1.0
Axilla,0.36079545454545453,1.0,1.0
Axilla,0.3678977272727273,1.0,1.0
Axilla,0.40482954545454547,1.0,1.0
Axilla,0.42329545454545453,1.0,1.0
Axilla,0.42613636363636365,1.0,1.0
Axilla,0.43892045454545453,1.0,1.0
Axilla,0.44176136363636365,1.0,1.0
Axilla,0.4502840909090909,1.0,1.0
Axilla,0.4559659090909091,1.0,1.0
Axilla,0.4588068181818182,1.0,1.0
