,8982,5475,6675,13645,4502,9144,2355,5630,8983,12770,6293,603,6444,11342,15788,15830,5897,14789,2287,10406,6910,4965,15877,12371,2798,7441,7472,3431,10220,14457,1759,15031,93,4540,4560,9378,13563,1433,10926,2179,6771,13508,6767,4257,11915,7137,14218,13947,2799,2272
Axilla,136,0,0,0,1,0,0,0,62,0,0,24,0,0,0,0,0,0,4,1,0,0,3,0,10,0,1,0,0,0,1,1,0,7,0,0,0,4,0,0,0,2,0,0,8,3,0,34,0,0
Axilla.1,167,0,0,0,3,0,0,0,105,0,0,9,0,0,11,0,0,0,4,0,0,0,1,0,2,0,4,0,0,0,1,3,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,18,0,0
Volear Forearm,168,0,0,0,4,0,2,0,94,0,0,3,0,2,8,0,0,0,12,0,1,1,4,0,10,0,3,1,5,0,4,1,0,0,0,0,0,19,0,0,0,5,4,0,6,5,0,76,0,1
Volear Forearm.1,167,0,0,0,5,0,1,0,91,0,0,10,1,0,3,0,0,0,9,0,0,0,1,0,9,0,0,2,3,0,1,1,0,0,1,0,0,7,0,0,0,4,0,0,1,1,0,58,0,0
Plantar Foot,6,0,0,0,55,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,112,0,0,0,0,0,0,28,0,0,18,0,0,3,0,0,0,1,2,0,0,0,0,1,0,0
Plantar Foot.1,7,0,0,0,22,0,0,0,18,0,1,0,0,0,2,0,0,0,0,0,0,0,46,0,59,0,0,0,0,0,0,56,0,0,139,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0
Forehead,561,0,0,0,1,0,3,0,52,0,0,2,0,0,3,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,24,0,0,1,3,1,1,2,4,0,14,0,0
Palmar Index Finger,400,0,0,1,0,0,1,0,5,0,0,5,1,0,10,0,11,0,7,0,0,3,2,0,1,0,0,14,0,0,13,2,2,0,4,1,0,3,0,2,0,11,0,0,6,10,0,10,0,2
Palmar Index Finger.1,159,0,0,0,3,0,2,0,22,0,0,4,0,0,10,0,1,0,4,1,1,4,1,0,1,0,0,1,0,0,9,0,1,0,1,0,0,6,0,0,0,3,0,0,17,2,0,12,1,10
Popliteal Fossa,68,0,0,0,27,0,0,0,16,0,0,20,1,0,0,0,0,0,27,0,0,0,24,0,39,0,4,1,2,0,2,5,0,0,8,0,0,0,0,0,1,0,0,1,0,0,0,9,0,0
Popliteal Fossa.1,148,0,0,0,26,0,2,0,5,0,1,18,0,0,1,0,2,0,10,1,1,0,28,0,18,0,0,0,1,0,1,15,0,0,42,0,0,2,0,0,0,0,1,0,0,0,0,18,0,0
Labia Minora,4,0,1,0,2,0,0,0,0,20,0,0,13,0,0,0,0,0,43,0,1,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,256,0,0,0,0,0,0,0
Umbilicus,28,0,0,0,19,0,0,0,0,0,9,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,254,0,0,313,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
External Nose,687,0,0,0,1,0,6,0,34,0,0,9,1,0,4,0,0,0,4,1,27,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,4,0,0,15,0,0
Pinna,303,0,0,0,4,0,2,0,3,0,0,8,0,0,2,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,5,2,0,0,3,0,0,0,0,2,0,2,0,0,6,0,0,72,0,1
Pinna.1,880,0,0,0,2,0,0,0,51,0,0,54,0,0,5,0,0,0,9,1,2,1,1,0,4,0,0,0,1,0,5,1,0,0,0,1,0,5,0,0,0,1,0,0,0,3,0,31,0,0
Palm,212,0,0,0,10,0,1,0,30,0,0,6,0,0,9,0,0,0,7,0,0,1,1,0,8,0,0,0,1,0,3,1,0,0,2,0,0,10,0,0,0,8,0,0,6,7,0,21,0,3
Palm.1,111,0,0,0,7,0,0,0,21,0,0,2,0,0,17,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,23,1,0,1,0,1,0,1,0,0,0,8,0,0,11,10,0,9,0,4
Axilla.2,157,0,0,0,15,0,1,0,416,0,0,11,0,0,5,0,0,0,1,0,0,0,1,0,4,0,0,0,4,0,0,2,0,4,0,0,0,21,0,0,0,0,0,0,0,1,0,28,0,0
Axilla.3,152,0,0,0,3,0,0,0,325,0,0,5,0,0,0,0,0,0,6,0,1,0,5,0,7,0,1,0,0,0,0,0,0,0,1,0,0,96,0,0,4,0,0,0,0,2,0,24,0,0
Volear Forearm.2,186,0,0,0,3,0,1,0,88,0,0,5,0,0,3,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,7,0,0,0,0,1,0,3,0,0,0,5,0,0,0,22,0,9,0,0
Volear Forearm.3,174,0,0,0,7,0,0,0,76,0,0,5,0,0,7,0,0,0,6,0,0,7,10,0,5,0,0,1,1,0,11,1,0,0,1,0,0,6,0,0,0,7,3,0,0,23,0,50,0,0
Plantar Foot.2,1,0,0,0,49,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,333,0,289,0,0,0,0,0,0,69,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Plantar Foot.3,0,0,0,0,20,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,173,0,106,0,0,0,0,0,0,83,0,0,252,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Forehead.1,536,0,0,0,0,0,2,0,24,0,0,2,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0
Palmar Index Finger.2,785,0,0,0,3,0,6,0,62,0,0,31,0,0,5,0,12,0,5,0,3,1,0,1,7,0,0,18,0,0,3,0,3,0,2,1,1,9,0,0,0,16,0,2,1,10,0,29,1,3
Palmar Index Finger.3,394,0,0,0,7,0,1,0,25,0,0,20,0,0,22,0,5,0,3,0,3,1,5,1,6,0,2,1,0,0,13,2,0,0,2,4,2,22,0,0,0,31,0,0,6,31,0,28,1,2
Popliteal Fossa.2,238,0,0,0,9,0,1,0,31,0,0,23,0,0,2,0,1,0,10,0,0,0,5,0,6,0,3,0,0,0,0,1,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,19,0,0
Popliteal Fossa.3,361,0,0,0,4,0,1,0,87,0,0,44,0,0,0,0,1,0,13,0,1,2,2,0,12,0,3,0,0,0,0,6,1,0,3,0,0,6,0,0,2,1,0,0,0,3,0,14,0,0
Labia Minora.1,75,0,1,0,16,0,1,0,0,2,0,1,6,0,0,0,1,0,355,2,8,0,0,0,35,0,4,1,27,1,0,1,0,6,2,0,0,0,0,9,3,0,35,0,0,0,0,2,0,0
Umbilicus.1,6,0,0,0,5,0,0,0,2,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,400,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
External Nose.1,954,0,0,0,0,0,3,0,77,0,0,12,0,0,3,0,0,0,1,2,12,0,3,1,2,0,0,1,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,5,0,22,0,0
Pinna.2,941,0,0,0,5,0,7,0,140,0,0,68,0,0,6,0,1,0,0,1,0,16,0,0,1,0,0,3,7,0,0,0,1,0,6,1,0,12,0,0,0,33,0,0,5,0,0,74,0,4
Pinna.3,727,0,0,0,1,0,5,0,234,0,0,61,0,0,4,0,0,0,1,0,1,2,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,46,0,0
Palm.2,500,0,0,0,4,0,3,0,134,0,0,9,0,0,22,0,2,0,9,1,2,2,4,0,9,0,0,2,1,0,6,1,2,0,2,1,0,20,0,0,0,13,0,1,0,12,0,23,0,3
Palm.3,340,0,0,0,33,0,1,0,104,0,0,10,0,1,80,0,1,0,6,1,2,10,3,0,8,0,0,1,4,0,21,0,0,0,0,3,0,21,0,0,0,43,1,0,4,44,0,31,0,2
Plantar Foot.4,0,0,0,1,435,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,307,0,59,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,13,0,0
Plantar Foot.5,2,0,0,1,350,0,0,0,1,1,0,5,0,0,0,0,0,2,2,0,0,0,536,0,107,0,0,0,0,0,0,12,0,0,75,0,0,6,1,0,0,1,0,0,0,0,0,2,0,0
Forehead.2,876,0,0,0,0,0,0,0,3,0,0,17,0,0,1,0,1,0,1,0,2,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0
Popliteal Fossa.4,380,0,1,0,37,0,0,0,54,0,0,99,0,0,4,0,0,0,69,0,1,0,18,0,93,0,8,3,4,0,0,5,0,2,16,0,1,9,1,2,1,0,4,0,0,0,0,6,1,0
Palm.4,636,0,0,0,4,0,0,0,5,0,0,45,0,0,2,0,2,0,5,0,1,0,0,1,5,0,1,0,0,0,0,0,0,0,1,13,0,1,0,0,0,0,0,0,0,1,0,9,0,0
Palm.5,335,0,0,0,1,0,0,0,25,0,0,21,0,0,21,0,1,0,15,0,1,0,7,0,10,0,0,0,3,0,0,0,0,0,2,4,4,9,1,0,0,2,0,0,1,4,0,4,1,1
Plantar Foot.6,0,0,0,2,457,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,116,0,107,0,0,0,0,0,0,7,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0
Plantar Foot.7,1,0,0,5,529,0,0,0,8,0,0,6,0,0,0,0,0,5,0,0,0,0,653,0,118,0,0,0,0,0,0,20,0,0,149,0,0,13,4,0,0,0,0,0,0,0,0,6,0,0
Forehead.3,1049,0,0,0,0,0,1,0,3,0,0,16,0,0,2,0,2,0,0,1,4,1,0,1,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0
Popliteal Fossa.5,456,0,1,0,20,0,0,0,15,0,0,42,1,0,4,0,1,0,47,0,7,0,4,0,39,0,3,0,8,0,1,2,0,1,7,1,0,7,0,0,0,1,0,0,3,0,1,3,1,1
Palm.6,595,0,0,0,3,0,0,0,11,0,0,14,0,0,5,0,0,0,1,0,4,1,1,0,3,0,0,0,1,0,1,1,0,0,1,2,0,3,2,0,0,0,0,0,0,2,0,4,0,0
