classes,fpr,tpr,auc
Subject1,0.0,0.0,1.0
Subject1,0.0,0.05,1.0
Subject1,0.0,1.0,1.0
Subject1,1.0,1.0,1.0
Subject2,0.0,0.0,0.9954166666666666
Subject2,0.0,0.05,0.9954166666666666
Subject2,0.0,0.95,0.9954166666666666
Subject2,0.09166666666666666,0.95,0.9954166666666666
Subject2,0.09166666666666666,1.0,0.9954166666666666
Subject2,1.0,1.0,0.9954166666666666
Subject3,0.0,0.0,1.0
Subject3,0.0,0.05,1.0
Subject3,0.0,1.0,1.0
Subject3,1.0,1.0,1.0
Subject4,0.0,0.0,1.0
Subject4,0.0,0.05,1.0
Subject4,0.0,1.0,1.0
Subject4,1.0,1.0,1.0
Subject5,0.0,0.0,1.0
Subject5,0.0,0.05,1.0
Subject5,0.0,1.0,1.0
Subject5,1.0,1.0,1.0
Subject6,0.0,0.0,0.9995833333333334
Subject6,0.0,0.05,0.9995833333333334
Subject6,0.0,0.95,0.9995833333333334
Subject6,0.008333333333333333,0.95,0.9995833333333334
Subject6,0.008333333333333333,1.0,0.9995833333333334
Subject6,1.0,1.0,0.9995833333333334
Subject7,0.0,0.0,1.0
Subject7,0.0,0.05,1.0
Subject7,0.0,1.0,1.0
Subject7,1.0,1.0,1.0
micro,0.0,0.0,0.9996173469387755
micro,0.0,0.007142857142857143,0.9996173469387755
micro,0.0,0.9714285714285714,0.9996173469387755
micro,0.0011904761904761906,0.9714285714285714,0.9996173469387755
micro,0.0011904761904761906,0.9785714285714285,0.9996173469387755
micro,0.002380952380952381,0.9785714285714285,0.9996173469387755
micro,0.002380952380952381,0.9928571428571429,0.9996173469387755
micro,0.047619047619047616,0.9928571428571429,0.9996173469387755
micro,0.047619047619047616,1.0,0.9996173469387755
micro,1.0,1.0,0.9996173469387755
macro,0.0,0.9857142857142858,0.9996130952380953
macro,0.008333333333333333,0.9928571428571429,0.9996130952380953
macro,0.09166666666666666,1.0,0.9996130952380953
macro,1.0,1.0,0.9996130952380953
