classes,fpr,tpr,auc
Subject1,0.0,0.0,1.0
Subject1,0.0,0.15,1.0
Subject1,0.0,0.225,1.0
Subject1,0.0,0.275,1.0
Subject1,0.0,1.0,1.0
Subject1,0.675,1.0,1.0
Subject1,0.7,1.0,1.0
Subject1,0.7375,1.0,1.0
Subject1,0.8875,1.0,1.0
Subject1,1.0,1.0,1.0
Subject2,0.0,0.0,1.0
Subject2,0.0,0.025,1.0
Subject2,0.0,1.0,1.0
Subject2,0.4875,1.0,1.0
Subject2,0.5125,1.0,1.0
Subject2,0.8125,1.0,1.0
Subject2,0.85,1.0,1.0
Subject2,0.9,1.0,1.0
Subject2,1.0,1.0,1.0
Subject3,0.0,0.0,1.0
Subject3,0.0,0.025,1.0
Subject3,0.0,0.225,1.0
Subject3,0.0,0.275,1.0
Subject3,0.0,1.0,1.0
Subject3,0.8,1.0,1.0
Subject3,0.825,1.0,1.0
Subject3,0.85,1.0,1.0
Subject3,0.875,1.0,1.0
Subject3,1.0,1.0,1.0
micro,0.0,0.0,1.0
micro,0.0,0.05,1.0
micro,0.0,0.075,1.0
micro,0.0,0.09166666666666666,1.0
micro,0.0,0.325,1.0
micro,0.0,0.3416666666666667,1.0
micro,0.0,1.0,1.0
micro,0.4083333333333333,1.0,1.0
micro,0.4166666666666667,1.0,1.0
micro,0.7416666666666667,1.0,1.0
micro,0.75,1.0,1.0
micro,0.7708333333333334,1.0,1.0
micro,0.8208333333333333,1.0,1.0
micro,0.85,1.0,1.0
micro,0.8625,1.0,1.0
micro,0.8791666666666667,1.0,1.0
micro,0.8875,1.0,1.0
micro,0.9083333333333333,1.0,1.0
micro,0.9166666666666666,1.0,1.0
micro,0.925,1.0,1.0
micro,1.0,1.0,1.0
macro,0.0,1.0,1.0
macro,0.4875,1.0,1.0
macro,0.5125,1.0,1.0
macro,0.675,1.0,1.0
macro,0.7,1.0,1.0
macro,0.7375,1.0,1.0
macro,0.8,1.0,1.0
macro,0.8125,1.0,1.0
macro,0.825,1.0,1.0
macro,0.85,1.0,1.0
macro,0.875,1.0,1.0
macro,0.8875,1.0,1.0
macro,0.9,1.0,1.0
macro,1.0,1.0,1.0
