features,j_cmi,MIfy
1023,1.5496983445018593,1.5496983445018593
1846,0.1028805792020393,1.2138167117536334
2063,0.05068672625267834,0.9833168819293574
1450,0.06722578583582528,0.9539920620429125
473,0.07279269208805328,0.862569427915949
2146,0.14337994634059403,0.8369095674377034
938,0.15148950908088854,0.8167639069962527
232,0.05237436961951547,0.7634692671767738
1891,0.06629254158773445,0.7502032085207313
2140,0.06159954681782476,0.7502032085207309
655,0.050848827454057166,0.6895191954353996
701,0.06540828035686252,0.6818162582813314
2363,0.12718419057444985,0.6756868473868298
2550,0.06033769086446017,0.6468106834469047
504,0.047661944775053366,0.6388537144909177
162,0.04297619539623021,0.6128269883397368
1634,0.08022993021398261,0.6091999593600574
1916,0.08386499573294548,0.5795503626607335
331,0.06227394297525762,0.527509162586522
1007,0.050005009435929226,0.5197861529959076
768,0.06034338970658959,0.4942545122035211
2118,0.07312250871769493,0.4919808307677862
902,0.05248779694296635,0.4594722535046911
713,0.04846009546222718,0.4481575977957475
2879,0.05919305465683272,0.4094035274540664
2003,0.05460934458122213,0.3839194707575029
1690,0.04837348463837465,0.3793735632824433
1375,0.07700938417668202,0.3721708548651852
364,0.056077519152040844,0.3693041291527226
915,0.06117556041432298,0.3579419238873167
2694,0.050492312567481434,0.34740968533400074
1111,0.04605525076911948,0.32165870457221657
2085,0.04668186971274885,0.3079885179821873
2625,0.07312581016841183,0.27979903286343166
1971,0.05475483271115292,0.2788446631728587
2701,0.08375788822592481,0.2737550207296078
1018,0.05012097906062299,0.22178972449670464
542,0.0540939938109552,0.21588164104762897
1800,0.04429865583796086,0.21588164104762875
2940,-0.07812110030984731,0.19563895120017527
1796,0.0460484648898343,0.17587786230248126
474,0.05060468894940265,0.17583963093126243
2147,0.04931930370722404,0.16217651039158043
1417,0.04578372884502399,0.15657251897800362
2495,0.04548091742464205,0.1565725189780034
2237,0.051632283692438705,0.15657251897800295
17,0.05173947037383331,0.14568432677654597
496,0.051946389120199485,0.13769932137482432
1409,-0.2573818573126966,0.12896547809357894
963,0.04559339874975117,0.1287094225070775
