classes,fpr,tpr,auc
Subject2_Left,0.0,0.0,1.0
Subject2_Left,0.0,0.05,1.0
Subject2_Left,0.0,0.45,1.0
Subject2_Left,0.0,0.55,1.0
Subject2_Left,0.0,1.0,1.0
Subject2_Left,0.19,1.0,1.0
Subject2_Left,0.23,1.0,1.0
Subject2_Left,0.24,1.0,1.0
Subject2_Left,0.27,1.0,1.0
Subject2_Left,0.28,1.0,1.0
Subject2_Left,0.33,1.0,1.0
Subject2_Left,0.36,1.0,1.0
Subject2_Left,0.43,1.0,1.0
Subject2_Left,0.44,1.0,1.0
Subject2_Left,0.46,1.0,1.0
Subject2_Left,1.0,1.0,1.0
Subject2_Right,0.0,0.0,1.0
Subject2_Right,0.0,0.05,1.0
Subject2_Right,0.0,1.0,1.0
Subject2_Right,0.02,1.0,1.0
Subject2_Right,0.04,1.0,1.0
Subject2_Right,0.07,1.0,1.0
Subject2_Right,0.11,1.0,1.0
Subject2_Right,0.2,1.0,1.0
Subject2_Right,0.22,1.0,1.0
Subject2_Right,0.26,1.0,1.0
Subject2_Right,0.28,1.0,1.0
Subject2_Right,0.3,1.0,1.0
Subject2_Right,0.35,1.0,1.0
Subject2_Right,0.39,1.0,1.0
Subject2_Right,0.42,1.0,1.0
Subject2_Right,0.43,1.0,1.0
Subject2_Right,0.48,1.0,1.0
Subject2_Right,0.49,1.0,1.0
Subject2_Right,0.65,1.0,1.0
Subject2_Right,0.66,1.0,1.0
Subject2_Right,0.69,1.0,1.0
Subject2_Right,0.71,1.0,1.0
Subject2_Right,0.76,1.0,1.0
Subject2_Right,1.0,1.0,1.0
Subject3_Left,0.0,0.0,1.0
Subject3_Left,0.0,0.05,1.0
Subject3_Left,0.0,1.0,1.0
Subject3_Left,0.38,1.0,1.0
Subject3_Left,0.4,1.0,1.0
Subject3_Left,0.46,1.0,1.0
Subject3_Left,0.48,1.0,1.0
Subject3_Left,0.59,1.0,1.0
Subject3_Left,0.61,1.0,1.0
Subject3_Left,0.62,1.0,1.0
Subject3_Left,0.67,1.0,1.0
Subject3_Left,0.7,1.0,1.0
Subject3_Left,0.73,1.0,1.0
Subject3_Left,0.81,1.0,1.0
Subject3_Left,0.84,1.0,1.0
Subject3_Left,0.86,1.0,1.0
Subject3_Left,1.0,1.0,1.0
Subject3_Right,0.0,0.0,1.0
Subject3_Right,0.0,0.05,1.0
Subject3_Right,0.0,1.0,1.0
Subject3_Right,0.3,1.0,1.0
Subject3_Right,0.32,1.0,1.0
Subject3_Right,0.44,1.0,1.0
Subject3_Right,0.47,1.0,1.0
Subject3_Right,0.5,1.0,1.0
Subject3_Right,0.52,1.0,1.0
Subject3_Right,0.55,1.0,1.0
Subject3_Right,0.58,1.0,1.0
Subject3_Right,0.62,1.0,1.0
Subject3_Right,0.69,1.0,1.0
Subject3_Right,0.78,1.0,1.0
Subject3_Right,0.81,1.0,1.0
Subject3_Right,1.0,1.0,1.0
Subject9_Left,0.0,0.0,1.0
Subject9_Left,0.0,0.05,1.0
Subject9_Left,0.0,1.0,1.0
Subject9_Left,0.55,1.0,1.0
Subject9_Left,0.58,1.0,1.0
Subject9_Left,0.6,1.0,1.0
Subject9_Left,0.66,1.0,1.0
Subject9_Left,0.67,1.0,1.0
Subject9_Left,0.75,1.0,1.0
Subject9_Left,0.79,1.0,1.0
Subject9_Left,1.0,1.0,1.0
Subject9_Right,0.0,0.0,1.0
Subject9_Right,0.0,0.05,1.0
Subject9_Right,0.0,1.0,1.0
Subject9_Right,0.46,1.0,1.0
Subject9_Right,0.48,1.0,1.0
Subject9_Right,0.59,1.0,1.0
Subject9_Right,0.61,1.0,1.0
Subject9_Right,0.62,1.0,1.0
Subject9_Right,0.67,1.0,1.0
Subject9_Right,0.74,1.0,1.0
Subject9_Right,0.75,1.0,1.0
Subject9_Right,0.78,1.0,1.0
Subject9_Right,0.8,1.0,1.0
Subject9_Right,0.83,1.0,1.0
Subject9_Right,1.0,1.0,1.0
micro,0.0,0.0,1.0
micro,0.0,0.008333333333333333,1.0
micro,0.0,0.275,1.0
micro,0.0,0.3,1.0
micro,0.0,1.0,1.0
micro,0.065,1.0,1.0
micro,0.06833333333333333,1.0,1.0
micro,0.07666666666666666,1.0,1.0
micro,0.08,1.0,1.0
micro,0.095,1.0,1.0
micro,0.09833333333333333,1.0,1.0
micro,0.12,1.0,1.0
micro,0.12333333333333334,1.0,1.0
micro,0.12833333333333333,1.0,1.0
micro,0.13166666666666665,1.0,1.0
micro,0.14,1.0,1.0
micro,0.14333333333333334,1.0,1.0
micro,0.2,1.0,1.0
micro,0.20333333333333334,1.0,1.0
micro,0.22666666666666666,1.0,1.0
micro,0.23,1.0,1.0
micro,0.23333333333333334,1.0,1.0
micro,0.23833333333333334,1.0,1.0
micro,0.24333333333333335,1.0,1.0
micro,0.24666666666666667,1.0,1.0
micro,0.25833333333333336,1.0,1.0
micro,0.26166666666666666,1.0,1.0
micro,0.27166666666666667,1.0,1.0
micro,0.275,1.0,1.0
micro,0.2816666666666667,1.0,1.0
micro,0.2866666666666667,1.0,1.0
micro,0.29833333333333334,1.0,1.0
micro,0.305,1.0,1.0
micro,0.30833333333333335,1.0,1.0
micro,0.31166666666666665,1.0,1.0
micro,0.32,1.0,1.0
micro,0.33,1.0,1.0
micro,0.3416666666666667,1.0,1.0
micro,0.34833333333333333,1.0,1.0
micro,0.365,1.0,1.0
micro,0.37,1.0,1.0
micro,0.38,1.0,1.0
micro,0.4,1.0,1.0
micro,0.405,1.0,1.0
micro,0.4083333333333333,1.0,1.0
micro,0.4116666666666667,1.0,1.0
micro,0.415,1.0,1.0
micro,0.425,1.0,1.0
micro,0.44,1.0,1.0
micro,0.4683333333333333,1.0,1.0
micro,0.49,1.0,1.0
micro,0.49333333333333335,1.0,1.0
micro,0.49833333333333335,1.0,1.0
micro,0.5066666666666667,1.0,1.0
micro,0.51,1.0,1.0
micro,0.5166666666666667,1.0,1.0
micro,0.565,1.0,1.0
micro,0.575,1.0,1.0
micro,0.58,1.0,1.0
micro,0.5833333333333334,1.0,1.0
micro,0.5866666666666667,1.0,1.0
micro,0.59,1.0,1.0
micro,0.6783333333333333,1.0,1.0
micro,0.6866666666666666,1.0,1.0
micro,0.6916666666666667,1.0,1.0
micro,0.6983333333333334,1.0,1.0
micro,0.7016666666666667,1.0,1.0
micro,0.7066666666666667,1.0,1.0
micro,0.7166666666666667,1.0,1.0
micro,0.72,1.0,1.0
micro,0.725,1.0,1.0
micro,0.7283333333333334,1.0,1.0
micro,0.7333333333333333,1.0,1.0
micro,0.7416666666666667,1.0,1.0
micro,0.7433333333333333,1.0,1.0
micro,0.7483333333333333,1.0,1.0
micro,0.7516666666666667,1.0,1.0
micro,1.0,1.0,1.0
macro,0.0,1.0,1.0
macro,0.02,1.0,1.0
macro,0.04,1.0,1.0
macro,0.07,1.0,1.0
macro,0.11,1.0,1.0
macro,0.19,1.0,1.0
macro,0.2,1.0,1.0
macro,0.22,1.0,1.0
macro,0.23,1.0,1.0
macro,0.24,1.0,1.0
macro,0.26,1.0,1.0
macro,0.27,1.0,1.0
macro,0.28,1.0,1.0
macro,0.3,1.0,1.0
macro,0.32,1.0,1.0
macro,0.33,1.0,1.0
macro,0.35,1.0,1.0
macro,0.36,1.0,1.0
macro,0.38,1.0,1.0
macro,0.39,1.0,1.0
macro,0.4,1.0,1.0
macro,0.42,1.0,1.0
macro,0.43,1.0,1.0
macro,0.44,1.0,1.0
macro,0.46,1.0,1.0
macro,0.47,1.0,1.0
macro,0.48,1.0,1.0
macro,0.49,1.0,1.0
macro,0.5,1.0,1.0
macro,0.52,1.0,1.0
macro,0.55,1.0,1.0
macro,0.58,1.0,1.0
macro,0.59,1.0,1.0
macro,0.6,1.0,1.0
macro,0.61,1.0,1.0
macro,0.62,1.0,1.0
macro,0.65,1.0,1.0
macro,0.66,1.0,1.0
macro,0.67,1.0,1.0
macro,0.69,1.0,1.0
macro,0.7,1.0,1.0
macro,0.71,1.0,1.0
macro,0.73,1.0,1.0
macro,0.74,1.0,1.0
macro,0.75,1.0,1.0
macro,0.76,1.0,1.0
macro,0.78,1.0,1.0
macro,0.79,1.0,1.0
macro,0.8,1.0,1.0
macro,0.81,1.0,1.0
macro,0.83,1.0,1.0
macro,0.84,1.0,1.0
macro,0.86,1.0,1.0
macro,1.0,1.0,1.0
