features,j_cmi,MIfy
OTU_14,0.908921901191199,0.908921901191199
OTU_51,-0.5569736956016473,0.4373446776322455
OTU_11,-0.4940454663135708,0.39169933704495474
OTU_90,-0.4114538917359185,0.3553645509418383
OTU_85,-0.4700809616901124,0.33700370960894965
OTU_42,-0.5326129966208955,0.33699890818170053
OTU_8,-0.5843340457275343,0.32233639522029256
OTU_30,-0.3909874222834542,0.3189442627059994
OTU_33,-0.5704762110823149,0.3102203323704479
OTU_99,-0.28442714775393674,0.2981786991606269
OTU_60,-0.4277992438070257,0.2974879297365104
OTU_57,-0.4643062326663141,0.29691425550974915
OTU_10,-0.5440759398056569,0.29249114116574726
OTU_74,-0.4397915107133673,0.2917915691853802
OTU_21,-0.28225565804520114,0.28640410242258485
OTU_40,-0.2753901770785805,0.28497943305233353
OTU_24,-0.3974683796998041,0.2839427854869948
OTU_53,-0.41346070340912455,0.2770715349434557
OTU_95,-0.30341760648652016,0.25890053872326624
OTU_12,-0.25054518444450335,0.2548019108106302
OTU_34,-0.31696695583903345,0.25163659838183927
OTU_28,-0.34623762764898225,0.24903436292440706
OTU_76,-0.3299135231940412,0.2476463926022966
OTU_32,-0.3615244423259537,0.24042947010394633
OTU_17,-0.35087510968955193,0.2402476506496637
OTU_82,-0.24079670951073212,0.23443015912493836
OTU_15,-0.36469108073050827,0.23210893185068182
OTU_86,-0.2893891355304655,0.2286332200589839
OTU_31,-0.19620254746930044,0.21215024315623243
OTU_88,-0.2609549848011365,0.2065305187862675
OTU_41,-0.23001689267891595,0.20559303191843747
OTU_97,-0.20469523708404774,0.20556336069874093
OTU_59,-0.21011412239957994,0.20484341469324308
OTU_48,-0.37241117823407177,0.20364057888165077
OTU_75,-0.27608103775777876,0.20250138067716061
OTU_62,-0.21370968296114634,0.1973565908530993
OTU_98,-0.32200901306676666,0.19719505370946322
OTU_49,-0.20011308756620427,0.19664259418287744
OTU_92,-0.22766557416718447,0.1935044847603592
OTU_84,-0.20332181949007455,0.17984254187067317
OTU_83,-0.2541981795848062,0.17829209343423058
OTU_50,-0.2277812171545061,0.17643600531836856
OTU_72,-0.2185108062521119,0.1708118673747424
OTU_91,-0.21748169266698403,0.16953241247160988
OTU_93,-0.18772118472659682,0.14927317936834894
OTU_26,-0.1899872603828009,0.14361498595905842
OTU_78,-0.22916602732211427,0.137703047324352
OTU_80,-0.4410664991005775,0.13314228369941128
OTU_63,-0.7589703628519803,0.13314228369941128
OTU_89,-0.27493004321520287,0.11912912897895633
