features,j_cmi,MIfy
OTU_54,0.8669497557012503,0.8669497557012503
OTU_103,-0.7136716925915437,0.5763533154151558
OTU_108,-0.45020994229914313,0.45341466606155334
OTU_97,-0.4810728938597355,0.37803231350344235
OTU_36,-0.5268488288124371,0.34350824614945175
OTU_94,-0.5934807560431384,0.3399219467258957
OTU_90,-0.41374545208394986,0.3350557268752338
OTU_34,-0.6316807568862237,0.32546782242515426
OTU_68,-0.707514727790293,0.32209666400091563
OTU_11,-0.6580343246632927,0.31837521596144247
OTU_75,-0.7377148803428789,0.3093763297788573
OTU_30,-0.6692526104651708,0.30426328006624004
OTU_107,-0.5774180482566685,0.291618676821236
OTU_81,-0.5391712527360767,0.2895159467623766
OTU_26,-0.6922335889654971,0.28924273052310345
OTU_15,-0.4382300869424388,0.2862866989319096
OTU_96,-0.3573677788937656,0.2812574234355093
OTU_40,-0.615978397081254,0.2794144943447122
OTU_39,-0.6386500496218436,0.2752390048821248
OTU_104,-0.32457425328828426,0.2722493267342595
OTU_48,-0.5598078359235272,0.26813700935588825
OTU_57,-0.5198437413702571,0.25870826262318525
OTU_72,-0.31296542825860807,0.23746044117540832
OTU_56,-0.41063213521083675,0.23385855031482705
OTU_12,-0.39699622007653357,0.23376731991863708
OTU_29,-0.5011758530962552,0.22662742213233
OTU_99,-0.29713671808338393,0.21603587451180262
OTU_63,-0.3818939008150839,0.21584969558304545
OTU_49,-0.30420588788106295,0.21291410649130393
OTU_58,-0.3716241865515506,0.21240783968700938
OTU_67,-0.308301504356316,0.211546903623134
OTU_84,-0.4643902877249584,0.2092900954265532
OTU_95,-0.3281942446547569,0.20856468493667812
OTU_10,-0.30148621733995506,0.2056856246752291
OTU_98,-0.5381841134721399,0.20270352128585
OTU_79,-0.37905841551910535,0.19849979582337374
OTU_21,-0.37886726995241726,0.1984997958233733
OTU_28,-0.4238155155112794,0.19796429949814331
OTU_37,-0.30543487598582664,0.1967808568556625
OTU_93,-0.3137279504790586,0.18169223230378984
OTU_64,-0.34616826902418907,0.17919861435516704
OTU_92,-0.32670243517795805,0.17917160541543253
OTU_73,-0.42555470062376866,0.17849122782797922
OTU_71,-0.2984383273491399,0.17749321198099766
OTU_32,-0.3171643537283506,0.16664542237489866
OTU_70,-0.35822894921252546,0.16526802861859158
OTU_102,-0.3451852978545984,0.16446869855205992
OTU_78,-0.40704419614791587,0.16363333815469738
OTU_88,-0.3116787704618658,0.14400362787546983
OTU_47,-1.0793670379328293,0.12907146628008592
