features,j_cmi,MIfy
OTU_1,0.9666186325481027,0.9666186325481027
OTU_323,-0.05819080887518224,0.9666186325481027
OTU_53,-0.10140074017062295,0.402403869255786
OTU_366,-0.07593920442579721,0.38713425793443645
OTU_227,-0.11078282248433191,0.33712513309760783
OTU_175,-0.0898097486563757,0.2778967570072356
OTU_136,-0.08655937813515419,0.2575953389234763
OTU_191,-0.08899810485903104,0.2575953389234763
OTU_150,-0.09258662515204963,0.2575953389234763
OTU_166,-0.0812678469726335,0.2575953389234763
OTU_357,-0.1128572818576914,0.2475847203152538
OTU_103,-0.09547711809585707,0.22769753052241393
OTU_384,-0.10197852768342719,0.2235998217904568
OTU_8,-0.11099975242597043,0.2235998217904568
OTU_30,-0.09585225997977725,0.2235998217904568
OTU_388,-0.09379103880208067,0.2235998217904568
OTU_345,-0.09511669630522629,0.2235998217904568
OTU_283,-0.04449068180289545,0.22016337320350432
OTU_14,-0.09169228884160507,0.20095555914869145
OTU_50,-0.09326191138912193,0.20095555914869145
OTU_141,-0.05970204608259028,0.20095555914869145
OTU_265,-0.08791085345348215,0.20095555914869145
OTU_182,-0.0739790969659112,0.20095555914869145
OTU_350,-0.0897604552105512,0.20095555914869145
OTU_122,-0.111273979932072,0.19974526607647658
OTU_359,-0.09221712310431124,0.19974526607647658
OTU_43,-0.16107247405476016,0.17950791764425433
OTU_320,-0.08455505185094103,0.17950791764425433
OTU_370,-0.18068904420844561,0.15913518815123306
OTU_387,-0.28763385017893717,0.15913518815123306
OTU_181,-0.037204850856274785,0.15913518815123306
OTU_367,-0.09986997655511448,0.15913518815123306
OTU_373,-0.11541946342155379,0.1552997859551214
OTU_369,-0.09726901951502437,0.1552997859551214
OTU_341,-0.09874330834263967,0.1552997859551214
OTU_169,-0.11386567356730315,0.1552997859551214
OTU_74,-0.07043100994966842,0.1552997859551214
OTU_62,-0.09257867166248976,0.1552997859551214
OTU_183,-0.048043464469432556,0.1552997859551214
OTU_195,-0.04989760607881344,0.1552997859551214
OTU_163,-0.1044665070017134,0.1463105191321329
OTU_338,-0.1155780142840821,0.1463105191321329
OTU_72,-0.08743173287277212,0.11377449410298535
OTU_383,-0.059756283258910525,0.11377449410298535
OTU_337,-0.09500761994913207,0.11377449410298535
OTU_349,-0.0829342682625982,0.11377449410298535
OTU_91,-0.0857448953294985,0.11377449410298535
OTU_351,-0.0881297874518655,0.11377449410298535
OTU_37,-0.09990237766743582,0.11377449410298535
OTU_94,-0.09488955570631835,0.11377449410298535
