features,j_cmi,MIfy
OTU_419,1.4104234762402816,1.4104234762402816
OTU_530,-0.006074013311170967,0.9849798978592137
OTU_171,-0.10939970633004359,0.44046124166010614
OTU_192,-0.07950897644595323,0.4326504276549188
OTU_207,-0.028144777943309607,0.4302478443957445
OTU_348,-0.061134091613146035,0.4286178251714634
OTU_237,-0.09037471508678385,0.4119491772529975
OTU_110,-0.09585038239099675,0.407165578148168
OTU_386,-0.08549914225746502,0.3996026984713783
OTU_235,-0.08143816998939685,0.37340536806082714
OTU_182,-0.059691489758760985,0.3717026528506291
OTU_7,-0.09856522587145994,0.35597308096495395
OTU_624,-0.10361426933468482,0.33826778051742057
OTU_616,-0.03696467734281311,0.3353130787146217
OTU_481,-0.07436167620844941,0.330890973615243
OTU_342,-0.06867329644420467,0.3276668394290003
OTU_123,-0.09073729829839233,0.32456517122312034
OTU_216,-0.08395870786989146,0.31957310508470194
OTU_408,-0.11557704912006417,0.3170294342470128
OTU_103,-0.03537766282743837,0.31547864765012634
OTU_581,-0.08514446035753248,0.3149943702711733
OTU_447,-0.08414550924750441,0.3147034080958109
OTU_178,-0.0881058404888499,0.29704756282639755
OTU_232,-0.10090936206509266,0.2927613757145222
OTU_201,-0.09197840165998256,0.2890687623032031
OTU_525,-0.10820149495564108,0.28395860922312544
OTU_568,-0.08187518444320441,0.2818460936343168
OTU_261,-0.06726895027521496,0.27775261499743475
OTU_561,-0.10350856967990063,0.27279219784625686
OTU_471,-0.07676834827001328,0.2700223612664683
OTU_619,-0.03570962962905616,0.26918246605768914
OTU_75,-0.09996826172202766,0.2657892216192448
OTU_347,-0.097612095270392,0.2646646245491231
OTU_256,-0.08101055689565839,0.26296169568820593
OTU_576,-0.10162349457873326,0.26149820150757974
OTU_458,-0.11527795146443132,0.2573759330185321
OTU_49,-0.06620405763089487,0.2468833876647316
OTU_295,-0.07813526636628415,0.23106130013672543
OTU_218,-0.07454936880021001,0.2275676743222641
OTU_231,-0.08751521543340202,0.21337552236233948
OTU_543,-0.043414568511911944,0.20911417025606194
OTU_243,-0.031427771207342664,0.2081120210291001
OTU_570,-0.06955259531993824,0.20044739640523024
OTU_617,-0.04022788258634474,0.19278026206938836
OTU_53,-0.07128964802824944,0.17715439469818905
OTU_115,-0.03707696615840636,0.17654369623283483
OTU_14,-0.11728157890342333,0.17050592048183022
OTU_595,-0.059534421639312246,0.15781037260581798
OTU_247,-0.32636463710545555,0.1331474589084043
OTU_687,-0.1825247423064399,0.11426604013153097
