,OTU_1,OTU_7253,OTU_7127,OTU_2292,OTU_284,OTU_9603,OTU_7152,OTU_11716,OTU_5701,OTU_10700,OTU_6635,OTU_10303,OTU_11671,OTU_7527,OTU_7063,OTU_8097,OTU_5045,OTU_3298,OTU_3098,OTU_4159,OTU_8867,OTU_5065,OTU_6950,OTU_3689,OTU_4464,OTU_4589,OTU_4234,OTU_8199,OTU_4165,OTU_5068,OTU_9529,OTU_2124,OTU_3110,OTU_3486,OTU_6246,OTU_7004,OTU_7060,OTU_11643,OTU_10638,OTU_1148,OTU_9680,OTU_8197,OTU_3887,OTU_7573,OTU_11767,OTU_10457,OTU_11720,OTU_2995,OTU_3232,OTU_7102
NLM007,0.028949861387152987,3.5573680741156287e-07,2.0099129618753307e-05,0.0,0.0,7.11473614823126e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.7786840370578149e-06,3.5573680741156287e-07,0.0,0.0,0.0,3.788596998933145e-05,0.0,0.0,4.446710092644537e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.312289248175159e-06,0.0,1.7786840370578144e-07,0.0,1.7786840370578144e-07,0.0,0.0,1.2628656663110484e-05,0.0,1.7786840370578144e-07,1.7786840370578144e-07,0.0,0.0,1.7786840370578144e-07,0.0,0.0,0.0,0.0,0.0,0.0
DOM010,0.013916919588351128,0.0,1.702125631509886e-07,0.0,0.0,1.702125631509886e-07,1.702125631509886e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.404251263019772e-07,0.0,0.0,1.702125631509886e-06,0.0,1.702125631509886e-07,0.0,0.0,0.0,1.0212753789059315e-06,0.00037429742636902385,0.0,3.404251263019772e-07,0.0,0.0,0.0,0.0,0.0,1.702125631509886e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38297588411384e-06,0.0,0.0,0.0,0.0,0.0
NOM005,0.0010505372320865096,0.0,0.0,9.635009771505743e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.211669923835248e-07,3.211669923835248e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.284667969534099e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.211669923835248e-07,0.0,0.0,3.211669923835248e-07,5.459838870519921e-06,0.0,0.0,3.211669923835248e-07,0.0,0.0,4.496337893369347e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.211669923835248e-07,0.0,0.0,6.423339847670495e-07
NOM010,0.006060403360803775,0.0,0.0,2.1168017327292266e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.1168017327292266e-07,0.0,0.0,0.0,0.0,4.2336034654584533e-07,2.1168017327292266e-07,4.2336034654584533e-07,0.0,8.467206930916904e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.598562945639685e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1168017327292266e-07,0.0,0.0,0.0,0.0,2.1168017327292266e-07,0.0,0.0,0.0,0.0,0.0,0.0
DOF008,6.759270201136569e-05,4.5981429939704544e-07,0.0,4.5981429939704544e-07,0.0,0.0,0.0,0.0,1.8392571975881818e-06,0.0,0.0,0.0,4.5981429939704544e-07,4.5981429939704544e-07,0.0,0.0,0.0,2.7588857963822733e-06,0.0,0.0,5.5177715927645465e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.196285987940909e-07,9.196285987940909e-07,0.0,2.7588857963822733e-06,0.0,4.5981429939704544e-07,0.0,0.0,0.0,0.0,3.678514395176365e-05,0.0,0.0,0.0,0.0,0.0,7.357028790352727e-06,0.0
NOM002,0.0017096183173465642,0.0,0.0,2.607317854730157e-07,7.821953564190471e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.6073178547301566e-06,0.0,0.0,0.0,2.607317854730157e-07,0.0,0.0,0.0,0.0,1.3036589273650783e-06,0.0,0.0,5.214635709460314e-07,0.0,0.0,0.0,0.0,2.607317854730157e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.214635709460314e-07,0.0,0.0,0.0,0.0,5.0060502810819014e-05,2.607317854730157e-07,0.0,0.0,0.0
NLM008,0.0013758401279740232,0.0,0.0,0.0,0.0,0.0,0.0,2.984468824238662e-06,0.0,0.0,0.0,0.0,2.984468824238662e-06,0.0,0.0,0.0,0.0,0.0,2.984468824238662e-06,0.0,0.0,2.984468824238662e-06,0.0,0.0,0.0,0.0,5.968937648477324e-06,0.0,0.0,0.0,0.0,2.984468824238662e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.073597001205725e-05,0.0,0.0,0.0,0.0,2.984468824238662e-06,0.0,0.0
NLF007,0.0006777177397197545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.579173917025369e-06,0.0,0.0,0.0,2.2895869585126847e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.579173917025369e-06,0.0,0.0,0.0,4.121256525322832e-05,9.158347834050738e-06,0.0,0.0,0.0,0.0,0.0,0.0
NOF012,0.007867940997375679,0.0,0.0,0.0,4.781489515269328e-07,0.0,0.0,0.0,0.0,4.781489515269328e-07,0.0,4.781489515269328e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.390744757634664e-07,0.0,0.0,0.0,2.390744757634664e-07,0.0,4.781489515269328e-07,0.0,2.390744757634664e-07,0.0,0.0,0.0,2.390744757634664e-07,0.0,0.0,0.0,0.0,9.562979030538655e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.390744757634664e-07,9.562979030538655e-07,0.0
DLM027,3.246143381058936e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048619203673613045,0.0,0.0,7.294704227098731e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.6473521135493657e-07,2.2248847892651128e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.6473521135493657e-07,0.0,0.0,0.0,7.294704227098731e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.294704227098731e-07,0.0,0.0,0.0,0.0,0.0,3.6473521135493657e-07,0.0,0.0,0.0
