classes,fpr,tpr,auc
Barrett's_Esophagus,0.0,0.0,1.0
Barrett's_Esophagus,0.0,0.011904761904761904,1.0
Barrett's_Esophagus,0.0,0.03571428571428571,1.0
Barrett's_Esophagus,0.0,0.05952380952380952,1.0
Barrett's_Esophagus,0.0,0.14285714285714285,1.0
Barrett's_Esophagus,0.0,0.19047619047619047,1.0
Barrett's_Esophagus,0.0,0.21428571428571427,1.0
Barrett's_Esophagus,0.0,0.23809523809523808,1.0
Barrett's_Esophagus,0.0,0.27380952380952384,1.0
Barrett's_Esophagus,0.0,0.2976190476190476,1.0
Barrett's_Esophagus,0.0,0.35714285714285715,1.0
Barrett's_Esophagus,0.0,0.39285714285714285,1.0
Barrett's_Esophagus,0.0,0.40476190476190477,1.0
Barrett's_Esophagus,0.0,0.4642857142857143,1.0
Barrett's_Esophagus,0.0,0.4880952380952381,1.0
Barrett's_Esophagus,0.0,0.5476190476190477,1.0
Barrett's_Esophagus,0.0,0.5714285714285714,1.0
Barrett's_Esophagus,0.0,0.5833333333333334,1.0
Barrett's_Esophagus,0.0,0.6071428571428571,1.0
Barrett's_Esophagus,0.0,0.6309523809523809,1.0
Barrett's_Esophagus,0.0,0.6666666666666666,1.0
Barrett's_Esophagus,0.0,0.6785714285714286,1.0
Barrett's_Esophagus,0.0,0.7261904761904762,1.0
Barrett's_Esophagus,0.0,0.7976190476190477,1.0
Barrett's_Esophagus,0.0,0.8452380952380952,1.0
Barrett's_Esophagus,0.0,0.8690476190476191,1.0
Barrett's_Esophagus,0.0,0.8928571428571429,1.0
Barrett's_Esophagus,0.0,0.9166666666666666,1.0
Barrett's_Esophagus,0.0,0.9404761904761905,1.0
Barrett's_Esophagus,0.0,0.9642857142857143,1.0
Barrett's_Esophagus,0.0,0.9880952380952381,1.0
Barrett's_Esophagus,0.0,1.0,1.0
Barrett's_Esophagus,0.007936507936507936,1.0,1.0
Barrett's_Esophagus,0.015873015873015872,1.0,1.0
Barrett's_Esophagus,0.027777777777777776,1.0,1.0
Barrett's_Esophagus,0.03571428571428571,1.0,1.0
Barrett's_Esophagus,0.03968253968253968,1.0,1.0
Barrett's_Esophagus,0.047619047619047616,1.0,1.0
Barrett's_Esophagus,0.05952380952380952,1.0,1.0
Barrett's_Esophagus,0.0873015873015873,1.0,1.0
Barrett's_Esophagus,0.0992063492063492,1.0,1.0
Barrett's_Esophagus,0.10317460317460317,1.0,1.0
Barrett's_Esophagus,0.1111111111111111,1.0,1.0
Barrett's_Esophagus,0.12301587301587301,1.0,1.0
Barrett's_Esophagus,0.14682539682539683,1.0,1.0
Barrett's_Esophagus,0.1626984126984127,1.0,1.0
Barrett's_Esophagus,0.1746031746031746,1.0,1.0
Barrett's_Esophagus,0.20238095238095238,1.0,1.0
Barrett's_Esophagus,0.2222222222222222,1.0,1.0
Barrett's_Esophagus,0.23015873015873015,1.0,1.0
Barrett's_Esophagus,0.24206349206349206,1.0,1.0
Barrett's_Esophagus,0.24603174603174602,1.0,1.0
Barrett's_Esophagus,0.28174603174603174,1.0,1.0
Barrett's_Esophagus,0.2896825396825397,1.0,1.0
Barrett's_Esophagus,0.29365079365079366,1.0,1.0
Barrett's_Esophagus,0.3055555555555556,1.0,1.0
Barrett's_Esophagus,0.3253968253968254,1.0,1.0
Barrett's_Esophagus,0.3333333333333333,1.0,1.0
Barrett's_Esophagus,0.3492063492063492,1.0,1.0
Barrett's_Esophagus,0.36904761904761907,1.0,1.0
Barrett's_Esophagus,0.373015873015873,1.0,1.0
Barrett's_Esophagus,0.42063492063492064,1.0,1.0
Barrett's_Esophagus,0.44841269841269843,1.0,1.0
Barrett's_Esophagus,0.4801587301587302,1.0,1.0
Barrett's_Esophagus,0.5277777777777778,1.0,1.0
Barrett's_Esophagus,0.5555555555555556,1.0,1.0
Barrett's_Esophagus,0.5714285714285714,1.0,1.0
Barrett's_Esophagus,0.5912698412698413,1.0,1.0
Barrett's_Esophagus,0.6150793650793651,1.0,1.0
Barrett's_Esophagus,0.6349206349206349,1.0,1.0
Barrett's_Esophagus,0.6587301587301587,1.0,1.0
Barrett's_Esophagus,0.6785714285714286,1.0,1.0
Barrett's_Esophagus,0.6825396825396826,1.0,1.0
Barrett's_Esophagus,0.7023809523809523,1.0,1.0
Barrett's_Esophagus,0.7103174603174603,1.0,1.0
Barrett's_Esophagus,0.7658730158730159,1.0,1.0
Barrett's_Esophagus,0.7857142857142857,1.0,1.0
Barrett's_Esophagus,0.7976190476190477,1.0,1.0
Barrett's_Esophagus,0.8134920634920635,1.0,1.0
Barrett's_Esophagus,0.8253968253968254,1.0,1.0
Barrett's_Esophagus,0.8452380952380952,1.0,1.0
Barrett's_Esophagus,0.876984126984127,1.0,1.0
Barrett's_Esophagus,0.9007936507936508,1.0,1.0
Barrett's_Esophagus,0.9206349206349206,1.0,1.0
Barrett's_Esophagus,0.9444444444444444,1.0,1.0
Barrett's_Esophagus,0.9603174603174603,1.0,1.0
Barrett's_Esophagus,0.9841269841269841,1.0,1.0
Barrett's_Esophagus,1.0,1.0,1.0
Esophageal_Adenocarcinoma,0.0,0.0,1.0
Esophageal_Adenocarcinoma,0.0,0.011904761904761904,1.0
Esophageal_Adenocarcinoma,0.0,0.047619047619047616,1.0
Esophageal_Adenocarcinoma,0.0,0.09523809523809523,1.0
Esophageal_Adenocarcinoma,0.0,0.15476190476190477,1.0
Esophageal_Adenocarcinoma,0.0,0.20238095238095238,1.0
Esophageal_Adenocarcinoma,0.0,0.23809523809523808,1.0
Esophageal_Adenocarcinoma,0.0,0.27380952380952384,1.0
Esophageal_Adenocarcinoma,0.0,0.39285714285714285,1.0
Esophageal_Adenocarcinoma,0.0,0.4166666666666667,1.0
Esophageal_Adenocarcinoma,0.0,0.4523809523809524,1.0
Esophageal_Adenocarcinoma,0.0,0.5238095238095238,1.0
Esophageal_Adenocarcinoma,0.0,0.5595238095238095,1.0
Esophageal_Adenocarcinoma,0.0,0.5833333333333334,1.0
Esophageal_Adenocarcinoma,0.0,0.6309523809523809,1.0
Esophageal_Adenocarcinoma,0.0,0.7023809523809523,1.0
Esophageal_Adenocarcinoma,0.0,0.7380952380952381,1.0
Esophageal_Adenocarcinoma,0.0,0.7857142857142857,1.0
Esophageal_Adenocarcinoma,0.0,0.7976190476190477,1.0
Esophageal_Adenocarcinoma,0.0,0.8214285714285714,1.0
Esophageal_Adenocarcinoma,0.0,0.8452380952380952,1.0
Esophageal_Adenocarcinoma,0.0,0.8690476190476191,1.0
Esophageal_Adenocarcinoma,0.0,1.0,1.0
Esophageal_Adenocarcinoma,0.003968253968253968,1.0,1.0
Esophageal_Adenocarcinoma,0.011904761904761904,1.0,1.0
Esophageal_Adenocarcinoma,0.023809523809523808,1.0,1.0
Esophageal_Adenocarcinoma,0.031746031746031744,1.0,1.0
Esophageal_Adenocarcinoma,0.047619047619047616,1.0,1.0
Esophageal_Adenocarcinoma,0.05555555555555555,1.0,1.0
Esophageal_Adenocarcinoma,0.07539682539682539,1.0,1.0
Esophageal_Adenocarcinoma,0.08333333333333333,1.0,1.0
Esophageal_Adenocarcinoma,0.09126984126984126,1.0,1.0
Esophageal_Adenocarcinoma,0.11507936507936507,1.0,1.0
Esophageal_Adenocarcinoma,0.11904761904761904,1.0,1.0
Esophageal_Adenocarcinoma,0.12698412698412698,1.0,1.0
Esophageal_Adenocarcinoma,0.1349206349206349,1.0,1.0
Esophageal_Adenocarcinoma,0.15079365079365079,1.0,1.0
Esophageal_Adenocarcinoma,0.15476190476190477,1.0,1.0
Esophageal_Adenocarcinoma,0.16666666666666666,1.0,1.0
Esophageal_Adenocarcinoma,0.18253968253968253,1.0,1.0
Esophageal_Adenocarcinoma,0.19047619047619047,1.0,1.0
Esophageal_Adenocarcinoma,0.20238095238095238,1.0,1.0
Esophageal_Adenocarcinoma,0.20634920634920634,1.0,1.0
Esophageal_Adenocarcinoma,0.23809523809523808,1.0,1.0
Esophageal_Adenocarcinoma,0.24206349206349206,1.0,1.0
Esophageal_Adenocarcinoma,0.25,1.0,1.0
Esophageal_Adenocarcinoma,0.2619047619047619,1.0,1.0
Esophageal_Adenocarcinoma,0.26587301587301587,1.0,1.0
Esophageal_Adenocarcinoma,0.2976190476190476,1.0,1.0
Esophageal_Adenocarcinoma,0.3055555555555556,1.0,1.0
Esophageal_Adenocarcinoma,0.31746031746031744,1.0,1.0
Esophageal_Adenocarcinoma,0.32142857142857145,1.0,1.0
Esophageal_Adenocarcinoma,0.34523809523809523,1.0,1.0
Esophageal_Adenocarcinoma,0.3611111111111111,1.0,1.0
Esophageal_Adenocarcinoma,0.38492063492063494,1.0,1.0
Esophageal_Adenocarcinoma,0.4246031746031746,1.0,1.0
Esophageal_Adenocarcinoma,0.44047619047619047,1.0,1.0
Esophageal_Adenocarcinoma,0.46825396825396826,1.0,1.0
Esophageal_Adenocarcinoma,0.48412698412698413,1.0,1.0
Esophageal_Adenocarcinoma,0.49603174603174605,1.0,1.0
Esophageal_Adenocarcinoma,0.5198412698412699,1.0,1.0
Esophageal_Adenocarcinoma,0.5357142857142857,1.0,1.0
Esophageal_Adenocarcinoma,0.5595238095238095,1.0,1.0
Esophageal_Adenocarcinoma,0.5714285714285714,1.0,1.0
Esophageal_Adenocarcinoma,0.5873015873015873,1.0,1.0
Esophageal_Adenocarcinoma,0.6111111111111112,1.0,1.0
Esophageal_Adenocarcinoma,0.623015873015873,1.0,1.0
Esophageal_Adenocarcinoma,0.6547619047619048,1.0,1.0
Esophageal_Adenocarcinoma,0.6825396825396826,1.0,1.0
Esophageal_Adenocarcinoma,0.746031746031746,1.0,1.0
Esophageal_Adenocarcinoma,0.7658730158730159,1.0,1.0
Esophageal_Adenocarcinoma,0.7896825396825397,1.0,1.0
Esophageal_Adenocarcinoma,0.8055555555555556,1.0,1.0
Esophageal_Adenocarcinoma,0.8412698412698413,1.0,1.0
Esophageal_Adenocarcinoma,0.873015873015873,1.0,1.0
Esophageal_Adenocarcinoma,0.8968253968253969,1.0,1.0
Esophageal_Adenocarcinoma,0.9761904761904762,1.0,1.0
Esophageal_Adenocarcinoma,0.996031746031746,1.0,1.0
Esophageal_Adenocarcinoma,1.0,1.0,1.0
Normal,0.0,0.0,1.0
Normal,0.0,0.023809523809523808,1.0
Normal,0.0,0.05952380952380952,1.0
Normal,0.0,0.09523809523809523,1.0
Normal,0.0,0.11904761904761904,1.0
Normal,0.0,0.19047619047619047,1.0
Normal,0.0,0.21428571428571427,1.0
Normal,0.0,0.27380952380952384,1.0
Normal,0.0,0.30952380952380953,1.0
Normal,0.0,0.3333333333333333,1.0
Normal,0.0,0.35714285714285715,1.0
